               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 135,            0.026157,            0.012766,            0.023601,             0.66693,             0.57983,             0.67003,             0.49174,            0.020269,           0.0047347,             0.01245,            0.005578,            0.005578,            0.005578
                 136,            0.025845,             0.01269,             0.02562,             0.82161,             0.82555,             0.88151,             0.69201,            0.018604,           0.0038132,           0.0061361,            0.005545,            0.005545,            0.005545
                 137,            0.023073,            0.012244,            0.022647,             0.68401,             0.69682,              0.7718,             0.57382,            0.018965,           0.0043847,             0.01185,            0.005512,            0.005512,            0.005512
                 138,            0.027432,            0.012353,            0.022454,             0.78608,             0.72607,             0.76775,             0.61161,            0.018023,            0.003838,           0.0096196,            0.005479,            0.005479,            0.005479
                 139,            0.025925,            0.011963,            0.023547,             0.67055,             0.60041,              0.6782,              0.4877,            0.025164,           0.0049178,            0.013338,            0.005446,            0.005446,            0.005446
                 140,            0.025113,            0.012615,            0.023759,              0.7683,             0.74382,             0.82869,             0.65403,            0.017186,           0.0039098,           0.0061954,            0.005413,            0.005413,            0.005413
                 141,            0.027059,            0.012579,            0.025795,             0.70568,             0.74378,             0.78459,             0.57837,             0.01734,           0.0039765,           0.0083163,             0.00538,             0.00538,             0.00538
                 142,            0.026518,            0.012635,            0.022914,             0.79856,             0.88534,             0.90313,             0.72355,            0.016833,           0.0035371,           0.0061181,            0.005347,            0.005347,            0.005347
                 143,            0.026372,            0.012267,            0.023496,             0.77619,             0.79221,             0.83832,             0.62071,            0.018861,           0.0038136,           0.0077001,            0.005314,            0.005314,            0.005314
                 144,             0.02628,            0.012751,            0.022666,             0.89028,              0.7837,              0.8939,             0.70163,            0.016013,           0.0037443,           0.0068628,            0.005281,            0.005281,            0.005281
                 145,            0.025396,            0.012015,            0.023849,             0.80797,             0.83607,             0.86987,             0.67342,            0.015895,           0.0036118,           0.0058276,            0.005248,            0.005248,            0.005248
                 146,            0.025676,            0.012353,            0.021831,             0.77876,             0.84171,             0.86225,             0.68914,            0.015403,           0.0035235,           0.0053156,            0.005215,            0.005215,            0.005215
                 147,            0.024435,            0.012099,            0.023492,             0.81338,             0.83648,             0.86966,             0.68461,            0.016215,           0.0035643,           0.0055274,            0.005182,            0.005182,            0.005182
                 148,            0.025672,            0.012183,            0.021346,             0.83574,             0.80682,              0.8712,             0.70946,            0.015603,           0.0034422,           0.0063924,            0.005149,            0.005149,            0.005149
                 149,            0.022823,            0.011725,            0.020678,             0.89778,              0.8064,              0.8949,             0.73401,            0.015477,           0.0034533,           0.0062138,            0.005116,            0.005116,            0.005116
                 150,            0.025704,            0.012396,            0.022565,              0.6595,             0.54229,             0.62345,             0.41036,            0.022263,           0.0052427,            0.017564,            0.005083,            0.005083,            0.005083
                 151,            0.025917,            0.012362,            0.022948,             0.79507,             0.77927,             0.83084,             0.64401,            0.016637,           0.0038011,           0.0098753,             0.00505,             0.00505,             0.00505
                 152,            0.025721,            0.012769,            0.024287,               0.853,             0.83919,             0.87218,             0.69229,            0.015006,           0.0035947,           0.0081946,            0.005017,            0.005017,            0.005017
                 153,            0.024968,            0.012667,            0.022252,             0.76325,             0.75087,             0.81705,             0.62449,            0.016162,           0.0038524,            0.010918,            0.004984,            0.004984,            0.004984
                 154,            0.025413,            0.011956,            0.022318,             0.83516,              0.8091,             0.85253,              0.6874,            0.015392,           0.0035079,           0.0089869,            0.004951,            0.004951,            0.004951
                 155,            0.024442,            0.012143,            0.022894,             0.87302,             0.83557,             0.90082,             0.74192,            0.015779,            0.003718,           0.0046504,            0.004918,            0.004918,            0.004918
                 156,            0.024489,            0.011832,            0.022584,             0.84695,             0.82716,             0.87745,              0.7074,            0.015447,           0.0035483,           0.0053977,            0.004885,            0.004885,            0.004885
                 157,             0.02495,            0.012344,            0.023237,             0.85452,             0.77219,             0.82615,             0.68086,            0.015179,           0.0035111,           0.0063614,            0.004852,            0.004852,            0.004852
                 158,             0.02451,            0.011956,            0.021948,             0.66412,             0.75983,             0.77638,              0.6038,            0.016499,           0.0040305,            0.010157,            0.004819,            0.004819,            0.004819
                 159,            0.023401,            0.012104,            0.023075,             0.85772,             0.79498,             0.87844,             0.71515,            0.016096,           0.0035025,           0.0059962,            0.004786,            0.004786,            0.004786
